NOME,QTD_VERTICES,QTD_ARESTAS,QTD_ARCOS,QTD_VERTICES_REQUERIDOS,QTD_ARESTAS_REQUERIDAS,QTD_ARCOS_REQUERIDOS,DENSIDADE_GRAFO,GRAU_MINIMO_ENTRADA,GRAU_MAXIMO_ENTRADA,GRAU_MINIMO_SAIDA,GRAU_MAXIMO_SAIDA,CAMINHO_MEDIO,DIAMETRO
BHW1,12,11,22,7,11,11,0.0833333,3,5,3,5,16.7121,30
BHW10,78,0,197,40,0,102,0,0,4,0,4,181.936,446
BHW11,78,0,197,20,0,51,0,0,4,0,4,181.936,446
BHW12,141,0,381,40,0,75,0,0,5,0,5,204.62,549
BHW13,141,0,381,25,0,150,0,0,5,0,5,204.62,549
BHW14,78,0,197,25,0,196,0,0,4,0,4,181.936,446
BHW15,78,0,197,30,0,98,0,0,4,0,4,181.936,446
BHW16,141,0,381,30,0,380,0,0,5,0,5,204.62,549
BHW17,141,0,381,50,0,190,0,0,5,0,5,204.62,549
BHW18,78,0,197,20,0,174,0,0,4,0,4,181.936,446
BHW19,78,0,197,20,0,87,0,0,4,0,4,181.936,446
BHW2,13,0,26,4,0,25,0,0,3,0,4,29.5682,72
BHW20,141,51,279,50,51,192,0.00258359,0,5,0,5,204.62,549
BHW3,14,8,31,5,8,7,0.043956,0,5,0,5,24.9231,47
BHW4,12,0,45,6,0,44,0,0,7,0,6,3.65455,10
BHW5,41,0,133,30,0,132,0,0,8,0,8,14.1128,32
BHW6,41,37,59,15,37,58,0.022561,0,8,0,8,14.1128,32
BHW7,51,0,195,35,0,194,0,0,5,0,5,11.0996,31
BHW8,51,0,195,20,0,97,0,0,5,0,5,11.0996,31
BHW9,51,26,143,10,26,142,0.0101961,0,5,0,5,11.0996,31
CBMix1,21,0,66,11,0,37,0,2,4,2,4,94.8048,208
CBMix10,56,94,16,4,94,9,0.0305195,2,8,2,8,93.3117,229
CBMix11,69,6,229,65,6,11,0.00127877,2,6,1,6,123.461,301
CBMix12,38,0,71,1,0,52,0,1,4,1,4,153.028,364
CBMix13,150,2,290,79,2,60,8.94855e-05,1,4,1,4,213.876,644
CBMix14,94,0,332,93,0,0,0,2,5,2,5,172.525,502
CBMix15,52,91,0,0,91,0,0.0686275,2,6,2,6,152.268,387
CBMix16,71,0,138,36,0,133,0,1,5,1,5,176.776,470
CBMix17,42,16,102,16,16,31,0.00929152,2,4,1,4,162.988,397
CBMix18,117,0,212,39,0,88,0,1,3,1,3,194.339,532
CBMix19,126,9,293,61,9,142,0.000571429,1,5,1,5,181.293,466
CBMix2,68,0,246,36,0,149,0,2,8,2,8,116.15,302
CBMix20,43,2,130,38,2,33,0.00110742,1,4,1,4,130.027,334
CBMix21,60,68,70,55,68,57,0.019209,1,6,2,5,163.771,408
