23630
27
3063
3063
0 1  1  4  477  6 (D,0,1,1) (S,33,1,4) (S,32,4,3) (S,112,3,69) (S,17,69,59) (D,0,1,1) 
0 1  2  6  656  8 (D,0,1,1) (S,31,1,2) (S,34,2,5) (S,37,5,8) (S,36,8,7) (S,35,7,6) (S,20,6,12) (D,0,1,1) 
0 1  3  6  685  8 (D,0,1,1) (S,3,1,8) (S,24,8,9) (S,39,9,10) (S,41,10,12) (S,121,12,76) (S,26,76,50) (D,0,1,1) 
0 1  4  5  670  7 (D,0,1,1) (S,38,1,9) (S,40,9,11) (S,42,11,16) (S,21,16,16) (S,13,16,13) (D,0,1,1) 
0 1  5  6  915  8 (D,0,1,1) (S,111,1,69) (S,110,69,69) (S,102,69,60) (S,6,60,62) (S,96,62,56) (S,90,56,52) (D,0,1,1) 
0 1  6  5  563  7 (D,0,1,1) (S,100,1,59) (S,25,59,44) (S,11,44,45) (S,82,45,46) (S,81,46,45) (D,0,1,1) 
0 1  7  9  660 11 (D,0,1,1) (S,126,1,59) (S,83,59,46) (S,30,46,46) (S,87,46,49) (S,88,49,50) (S,93,50,54) (S,92,54,53) (S,23,53,53) (S,27,53,51) (D,0,1,1) 
0 1  8  8  691 10 (D,0,1,1) (S,84,1,47) (S,89,47,51) (S,125,51,51) (S,53,51,22) (S,4,22,22) (S,22,22,24) (S,54,24,75) (S,55,75,24) (D,0,1,1) 
0 1  9  3  746  5 (D,0,1,1) (S,101,1,59) (S,127,59,67) (S,104,67,62) (D,0,1,1) 
0 1 10  2  614  4 (D,0,1,1) (S,86,1,48) (S,19,48,48) (D,0,1,1) 
0 1 11  6  994  8 (D,0,1,1) (S,103,1,61) (S,128,61,67) (S,7,67,67) (S,108,67,66) (S,106,66,64) (S,74,64,40) (D,0,1,1) 
0 1 12  7 1081  9 (D,0,1,1) (S,85,1,48) (S,91,48,53) (S,8,53,54) (S,94,54,53) (S,56,53,25) (S,57,25,75) (S,116,75,73) (D,0,1,1) 
0 1 13  6 1243  8 (D,0,1,1) (S,105,1,63) (S,107,63,65) (S,2,65,65) (S,98,65,57) (S,18,57,57) (S,115,57,73) (D,0,1,1) 
0 1 14  6  775  8 (D,0,1,1) (S,10,1,76) (S,122,76,76) (S,51,76,20) (S,124,20,77) (S,46,77,77) (S,44,77,14) (D,0,1,1) 
0 1 15  3  795  5 (D,0,1,1) (S,109,1,68) (S,16,68,68) (S,14,68,56) (D,0,1,1) 
0 1 16  4  909  6 (D,0,1,1) (S,99,1,58) (S,97,58,56) (S,79,56,43) (S,9,43,40) (D,0,1,1) 
0 1 17  7  856  9 (D,0,1,1) (S,29,1,43) (S,1,43,41) (S,77,41,41) (S,76,41,41) (S,75,41,39) (S,78,39,42) (S,73,42,39) (D,0,1,1) 
0 1 18  3  936  5 (D,0,1,1) (S,80,1,44) (S,95,44,50) (S,58,50,26) (D,0,1,1) 
0 1 19  4 1299  6 (D,0,1,1) (S,119,1,67) (S,72,67,38) (S,71,38,37) (S,45,37,15) (D,0,1,1) 
0 1 20  3  883  5 (D,0,1,1) (S,118,1,72) (S,117,72,74) (S,114,74,72) (D,0,1,1) 
0 1 21  4  904  6 (D,0,1,1) (S,49,1,19) (S,50,19,20) (S,52,20,21) (S,120,21,75) (D,0,1,1) 
0 1 22  6 1076  8 (D,0,1,1) (S,43,1,16) (S,12,16,77) (S,123,77,77) (S,48,77,18) (S,47,18,17) (S,59,17,26) (D,0,1,1) 
0 1 23  6  956  8 (D,0,1,1) (S,63,1,29) (S,15,29,28) (S,62,28,29) (S,61,29,28) (S,60,28,27) (S,64,27,31) (D,0,1,1) 
0 1 24  2  879  4 (D,0,1,1) (S,65,1,31) (S,69,31,35) (D,0,1,1) 
0 1 25  3 1081  5 (D,0,1,1) (S,66,1,32) (S,70,32,36) (S,68,36,34) (D,0,1,1) 
0 1 26  3 1412  5 (D,0,1,1) (S,67,1,33) (S,5,33,34) (S,28,34,70) (D,0,1,1) 
0 1 27  1  874  3 (D,0,1,1) (S,113,1,71) (D,0,1,1) 
