49668
19
9602
9602
0 1  1 10 2471 12 (D,0,86,86) (S,46,86,87) (S,38,87,74) (S,96,74,62) (S,32,62,62) (S,97,62,50) (S,27,50,50) (S,28,50,51) (S,34,51,65) (S,40,65,76) (S,66,76,125) (D,0,86,86) 
0 1  2  8 2352 10 (D,0,86,86) (S,45,86,85) (S,114,85,84) (S,44,84,84) (S,43,84,83) (S,109,83,96) (S,56,96,109) (S,130,109,132) (S,121,132,111) (D,0,86,86) 
0 1  3  9 2591 11 (D,0,86,86) (S,108,86,70) (S,102,70,83) (S,49,83,94) (S,55,94,108) (S,120,108,109) (S,69,109,132) (S,62,132,121) (S,119,121,95) (S,126,95,124) (D,0,86,86) 
0 1  4  9 2359 11 (D,0,86,86) (S,103,86,60) (S,95,60,61) (S,26,61,48) (S,89,48,38) (S,90,38,37) (S,12,37,27) (S,88,27,28) (S,13,28,28) (S,50,28,98) (D,0,86,86) 
0 1  5  7 2233  9 (D,0,86,86) (S,51,86,99) (S,115,99,98) (S,39,98,75) (S,104,75,74) (S,81,74,72) (S,37,72,71) (S,31,71,58) (D,0,86,86) 
0 1  6  7 2247  9 (D,0,86,86) (S,61,86,120) (S,70,120,133) (S,131,133,143) (S,76,143,143) (S,75,143,142) (S,137,142,132) (S,71,132,135) (D,0,86,86) 
0 1  7  9 2599 11 (D,0,86,86) (S,52,86,100) (S,117,100,101) (S,53,101,101) (S,54,101,103) (S,67,103,127) (S,128,127,128) (S,59,128,116) (S,60,116,117) (S,133,117,128) (D,0,86,86) 
0 1  8 10 2875 12 (D,0,86,86) (S,116,86,89) (S,92,89,51) (S,33,51,64) (S,100,64,78) (S,105,78,76) (S,98,76,77) (S,99,77,52) (S,93,52,51) (S,30,51,54) (S,58,54,114) (D,0,86,86) 
0 1  9  7 2635  9 (D,0,86,86) (S,25,86,47) (S,24,47,46) (S,23,46,45) (S,22,45,44) (S,8,44,14) (S,7,14,13) (S,84,13,14) (D,0,86,86) 
0 1 10  9 2514 11 (D,0,86,86) (S,57,86,113) (S,65,113,124) (S,64,124,123) (S,125,123,111) (S,132,111,137) (S,72,137,137) (S,141,137,146) (S,140,146,144) (S,122,144,113) (D,0,86,86) 
0 1 11  7 2478  9 (D,0,86,86) (S,18,86,39) (S,19,39,41) (S,29,41,53) (S,94,53,52) (S,41,52,79) (S,35,79,67) (S,15,67,30) (D,0,86,86) 
0 1 12  7 3318  9 (D,0,86,86) (S,110,86,78) (S,42,78,80) (S,48,80,92) (S,118,92,115) (S,123,115,129) (S,73,129,139) (S,47,139,91) (D,0,86,86) 
0 1 13  9 3165 11 (D,0,86,86) (S,63,86,122) (S,74,122,140) (S,136,140,131) (S,138,131,141) (S,77,141,144) (S,139,144,134) (S,78,134,148) (S,111,148,79) (S,9,79,16) (D,0,86,86) 
0 1 14  6 2451  8 (D,0,86,86) (S,3,86,5) (S,4,5,6) (S,14,6,29) (S,85,29,8) (S,5,8,10) (S,86,10,18) (D,0,86,86) 
0 1 15  6 3126  8 (D,0,86,86) (S,135,86,141) (S,134,141,118) (S,127,118,137) (S,79,137,150) (S,124,150,106) (S,68,106,130) (D,0,86,86) 
0 1 16  6 2869  8 (D,0,86,86) (S,82,86,5) (S,2,5,3) (S,80,3,4) (S,11,4,22) (S,1,22,2) (S,6,2,12) (D,0,86,86) 
0 1 17  6 2602  8 (D,0,86,86) (S,112,86,82) (S,107,82,69) (S,36,69,68) (S,106,68,80) (S,113,80,106) (S,129,106,128) (D,0,86,86) 
0 1 18  5 2476  7 (D,0,86,86) (S,20,86,42) (S,91,42,41) (S,16,41,32) (S,10,32,20) (S,87,20,11) (D,0,86,86) 
0 1 19  4 2307  6 (D,0,86,86) (S,101,86,56) (S,17,56,33) (S,21,33,43) (S,83,43,21) (D,0,86,86) 
