22203
11
1141
1141
0 1  1  6 2046  8 (D,0,15,15) (S,10,15,21) (S,50,21,26) (S,14,26,32) (S,60,32,39) (S,61,39,33) (S,36,33,9) (D,0,15,15) 
0 1  2  6 2202  8 (D,0,15,15) (S,44,15,20) (S,43,20,20) (S,8,20,14) (S,5,14,8) (S,4,8,7) (S,1,7,1) (D,0,15,15) 
0 1  3  7 2187  9 (D,0,15,15) (S,26,15,27) (S,54,27,39) (S,15,39,40) (S,62,40,38) (S,53,38,26) (S,29,26,33) (S,31,33,40) (D,0,15,15) 
0 1  4  5 2016  7 (D,0,15,15) (S,41,15,13) (S,40,13,19) (S,25,19,25) (S,12,25,25) (S,13,25,31) (D,0,15,15) 
0 1  5  8 2113 10 (D,0,15,15) (S,42,15,17) (S,9,17,18) (S,23,18,18) (S,49,18,30) (S,58,30,30) (S,48,30,22) (S,11,22,22) (S,51,22,34) (D,0,15,15) 
0 1  6  9 2490 11 (D,0,15,15) (S,47,15,28) (S,55,28,33) (S,59,33,37) (S,52,37,25) (S,28,25,32) (S,32,32,41) (S,56,41,29) (S,27,29,29) (S,46,29,23) (D,0,15,15) 
0 1  7  7 1948  9 (D,0,15,15) (S,45,15,16) (S,37,16,11) (S,6,11,11) (S,34,11,6) (S,7,6,12) (S,35,12,5) (S,22,5,12) (D,0,15,15) 
0 1  8  5 2124  7 (D,0,15,15) (S,21,15,16) (S,3,16,4) (S,20,4,10) (S,38,10,5) (S,24,5,24) (D,0,15,15) 
0 1  9  4 1982  6 (D,0,15,15) (S,33,15,7) (S,17,7,2) (S,2,2,3) (S,18,3,4) (D,0,15,15) 
0 1 10  5 2359  7 (D,0,15,15) (S,19,15,9) (S,39,9,18) (S,57,18,41) (S,16,41,41) (S,63,41,42) (D,0,15,15) 
0 1 11  1  736  3 (D,0,15,15) (S,30,15,36) (D,0,15,15) 
