321
10
1523
1523
0 1  1  2   39  4 (D,0,1,1) (S,3,1,4) (S,5,4,6) (D,0,1,1) 
0 1  2  4   45  6 (D,0,1,1) (S,21,1,9) (S,6,9,7) (S,29,7,10) (S,2,10,3) (D,0,1,1) 
0 1  3  1   29  3 (D,0,1,1) (S,1,1,2) (D,0,1,1) 
0 1  4  4   32  6 (D,0,1,1) (S,25,1,8) (S,7,8,8) (S,19,8,9) (S,14,9,10) (D,0,1,1) 
0 1  5  5   31  7 (D,0,1,1) (S,18,1,6) (S,17,6,5) (S,4,5,5) (S,10,5,5) (S,28,5,11) (D,0,1,1) 
0 1  6  5   37  7 (D,0,1,1) (S,22,1,4) (S,24,4,9) (S,26,9,9) (S,15,9,10) (S,16,10,10) (D,0,1,1) 
0 1  7  4   32  6 (D,0,1,1) (S,33,1,11) (S,32,11,6) (S,11,6,7) (S,9,7,11) (D,0,1,1) 
0 1  8  4   35  6 (D,0,1,1) (S,34,1,2) (S,20,2,8) (S,23,8,5) (S,30,5,10) (D,0,1,1) 
0 1  9  3   29  5 (D,0,1,1) (S,27,1,11) (S,13,11,7) (S,8,7,9) (D,0,1,1) 
0 1 10  2   12  4 (D,0,1,1) (S,12,1,4) (S,31,4,11) (D,0,1,1) 
