822
10
854
854
0 1  1  7   63  9 (D,0,1,1) (S,1,1,2) (S,2,2,3) (S,47,3,2) (S,50,2,3) (S,63,3,1) (S,61,1,2) (S,20,2,4) (D,0,1,1) 
0 1  2 11   89 13 (D,0,1,1) (S,57,1,5) (S,4,5,5) (S,5,5,6) (S,40,6,11) (S,42,11,6) (S,46,6,12) (S,8,12,12) (S,54,12,12) (S,18,12,19) (S,53,19,18) (S,3,18,4) (D,0,1,1) 
0 1  3 11   79 13 (D,0,1,1) (S,27,1,31) (S,43,31,6) (S,34,6,10) (S,9,10,14) (S,39,14,10) (S,45,10,14) (S,48,14,5) (S,64,5,30) (S,17,30,30) (S,36,30,30) (S,44,30,4) (D,0,1,1) 
0 1  4  7   67  9 (D,0,1,1) (S,59,1,28) (S,28,28,31) (S,32,31,31) (S,41,31,26) (S,15,26,26) (S,16,26,27) (S,24,27,27) (D,0,1,1) 
0 1  5  6   85  8 (D,0,1,1) (S,33,1,13) (S,26,13,13) (S,56,13,18) (S,12,18,18) (S,19,18,22) (S,51,22,12) (D,0,1,1) 
0 1  6  7   92  9 (D,0,1,1) (S,31,1,31) (S,58,31,16) (S,11,16,16) (S,55,16,16) (S,62,16,11) (S,30,11,11) (S,10,11,15) (D,0,1,1) 
0 1  7  6  103  8 (D,0,1,1) (S,7,1,8) (S,49,8,11) (S,60,11,14) (S,37,14,26) (S,25,26,25) (S,14,25,25) (D,0,1,1) 
0 1  8  4   93  6 (D,0,1,1) (S,29,1,12) (S,13,12,19) (S,35,19,22) (S,23,22,21) (D,0,1,1) 
0 1  9  4   95  6 (D,0,1,1) (S,6,1,7) (S,52,7,8) (S,38,8,6) (S,21,6,24) (D,0,1,1) 
0 1 10  1   56  3 (D,0,1,1) (S,22,1,22) (D,0,1,1) 
